title,completed
"Random title 1",True
"Random title 2",False
"Random title 3",True
"Random title 4",True
"Random title 5",False
"Random title 6",True
"Random title 7",False
"Random title 8",True
"Random title 9",False
"Random title 10",True
"Random title 11",False
"Random title 12",True
"Random title 13",False
"Random title 14",True
"Random title 15",False
"Random title 16",True
"Random title 17",False
"Random title 18",True
"Random title 19",False
"Random title 20",True
"Random title 21",False
"Random title 22",True
"Random title 23",False
"Random title 24",True
"Random title 25",False
"Random title 26",True 
