title,completed
"Random title updated 1",True
"Random title updated 2",False
"Random title updated 3",True
"Random title updated 4",True
"Random title updated 5",False
"Random title updated 6",True
"Random title updated 7",False
"Random title updated 8",True
"Random title updated 9",False
"Random title updated 10",True
"Random title updated 11",False
"Random title updated 12",True
"Random title updated 13",False
"Random title updated 14",True
"Random title updated 15",False
"Random title updated 16",True
"Random title updated 17",False
"Random title updated 18",True
"Random title updated 19",False
"Random title updated 20",True
"Random title updated 21",False
"Random title updated 22",True
"Random title updated 23",False
"Random title updated 24",True
"Random title updated 25",False
"Random title updated 26",True 
